@param = 17,25,8
@timing = 9100,4400,600,1600,500
電源 = A2,6D,48,B7,
トレイ 開閉 = A2,6D,88,77,
放送切替 = A2,6D,84,7B,
入力切替 = A2,6D,F0,0F,
ドライブ切替 = A2,6D,45,BA,
録画切替 TS/RE = A2,6D,C6,39,
ダビング = A2,6D,82,7D,
番組ナビ = A2,6D,AD,52,
見るナビ = A2,6D,42,BD,
番組表 = A2,6D,B6,49,
見ながら = A2,6D,C2,3D,
< コマ戻し = A2,6D,79,86,
コマ送り > = A2,6D,B9,46,
一時停止 = A2,6D,E8,17,
再生 ▶ = A2,6D,C8,37,
◀◀ 巻き戻し = A2,6D,19,E6,
早送り ▶▶ = A2,6D,59,A6,
停止 ■ = A2,6D,68,97,
◀ スロー = A2,6D,31,CE,
スロー ▶ = A2,6D,11,EE,
|◀◀ スキップ = A2,6D,21,DE,
スキップ ▶▶| = A2,6D,01,FE,
チャプター = A2,6D,9B,64,
1 = A2,6D,80,7F,
2 = A2,6D,40,BF,
3 = A2,6D,C0,3F,
4 = A2,6D,20,DF,
5 = A2,6D,A0,5F,
6 = A2,6D,60,9F,
7 = A2,6D,E0,1F,
8 = A2,6D,10,EF,
9 = A2,6D,90,6F,
10 = A2,6D,B0,4F,
11 = A2,6D,00,FF,
12 = A2,6D,30,CF,
クリア/先頭 = A2,6D,CA,35,
ズーム = A2,6D,7A,85,
表示/残量 = A2,6D,5A,A5,
サーチ/文字 = A2,6D,70,8F,
CH番号入力 = A2,6D,A4,5B,
おまかせ = A2,6D,DC,23,
タイムバー = A2,6D,5B,A4,
[青] = A2,6D,94,6B,
[赤] = A2,6D,54,AB,
[緑] = A2,6D,D4,2B,
[黄] = A2,6D,34,CB,
チャンネル ▲ = A2,6D,78,87,
チャンネル ▼ = A2,6D,F8,07,
上 ▲ = A2,6D,03,FC,
下 ▼ = A2,6D,13,EC,
◀ 左 = A2,6D,33,CC,
◀◀ 左 = A2,6D,AA,55,
右 ▶ = A2,6D,23,DC,
右 ▶▶ = A2,6D,DA,25,
決定 = A2,6D,22,DD,
戻る = A2,6D,D2,2D,
モード = A2,6D,52,AD,
番組説明 = A2,6D,2D,D2,
クイックメニュー = A2,6D,A2,5D,
スタートメニュー = A2,6D,62,9D,
終了 = A2,6D,06,F9,
録画 ● = A2,6D,A8,57,
タイムスリップ = A2,6D,58,A7,
ヘルプ = A2,6D,46,B9,
データ [d] = A2,6D,C4,3B,
メディア = A2,6D,44,BB,
録画モード = A2,6D,E5,1A,
ゴミ箱へ = A2,6D,74,8B,
解像度切替 = A2,6D,0D,F2,
音声/音多 = A2,6D,CB,34,
アングル = A2,6D,2B,D4,
字幕 = A2,6D,AB,54,
予約 = A2,6D,7B,84,
