@param = 17,25,8
@timing = 3500,1600,540,1200,360
@title = Panasonic Room Light
ch1-on = 34,4A,90,B4,24,
ch1-off = 34,4A,90,F4,64,
ch1-white = 34,4A,9C,09,95,
ch1-warm = 34,4A,9C,89,15,
ch1-light = 34,4A,90,54,C4,
ch1-dark = 34,4A,90,D4,44,
ch1-full = 34,4A,90,34,A4,
ch1-sleep = 34,4A,90,74,E4,
ch1-timer = 34,4A,9C,85,19,
ch2-on = 34,4A,90,AC,3C,
ch2-off = 34,4A,90,EC,7C,
ch2-white = 34,4A,9C,29,B5,
ch2-warm = 34,4A,9C,A9,35,
ch2-light = 34,4A,90,4C,DC,
ch2-dark = 34,4A,90,CC,5C,
ch2-full = 34,4A,90,2C,BC,
ch2-sleep = 34,4A,90,6C,FC,
ch2-timer = 34,4A,9C,55,C9,
ch3-on = 34,4A,90,BC,2C,
ch3-off = 34,4A,90,FC,6C,
ch3-white = 34,4A,9C,19,85,
ch3-warm = 34,4A,9C,99,05,
ch3-light = 34,4A,90,5C,CC,
ch3-dark = 34,4A,90,DC,4C,
ch3-full = 34,4A,90,3C,AC,
ch3-sleep = 34,4A,90,7C,EC,
ch3-timer = 34,4A,9C,CD,51,
