@title = HITACHI TV
power = 0A,F5,E8,17,
display-info = 0A,F5,08,F7,
audio-ch = 0A,F5,10,EF,
input-select = 0A,F5,90,6F,
d-1 = 6A,95,8E,71,
d-2 = 6A,95,4E,B1,
d-3 = 6A,95,CE,31,
d-4 = 6A,95,2E,D1,
d-5 = 6A,95,AE,51,
d-6 = 6A,95,6E,91,
d-7 = 6A,95,EE,11,
d-8 = 6A,95,1E,E1,
d-9 = 6A,95,9E,61,
d-10 = 6A,95,0E,F1,
d-11 = 6A,95,5E,A1,
d-12 = 6A,95,DE,21,
bs-1 = 6A,95,B0,4F,
bs-2 = 6A,95,70,8F,
bs-3 = 6A,95,F0,0F,
bs-4 = 6A,95,38,C7,
bs-5 = 6A,95,B8,47,
bs-6 = 6A,95,78,87,
bs-7 = 6A,95,F8,07,
bs-8 = 6A,95,20,DF,
bs-9 = 6A,95,A0,5F,
bs-10 = 6A,95,30,CF,
bs-11 = 6A,95,60,9F,
bs-12 = 6A,95,E0,1F,
data = 6A,95,CA,35,
data-blue = 6A,95,2A,D5,
data-red = 6A,95,AA,55,
data-green = 6A,95,6A,95,
data-yellow = 6A,95,EA,15,
benri = 0A,F5,25,DA,
sweebel = 0A,F5,35,CA,
menu = 0A,F5,CA,35,
bangumihyou = 6A,95,82,7D,
bangumikensaku = 6A,95,62,9D,
2gamen = 0A,F5,1A,E5,
return = 0A,F5,C5,3A,
up-key = 0A,F5,0E,F1,
down-key = 0A,F5,8E,71,
right-key = 0A,F5,4E,B1,
left-key = 0A,F5,CE,31,
enter = 0A,F5,CC,33,
chunnel-no-direct = 6A,95,1A,E5,
mute = 0A,F5,D0,2F,
volume-up = 0A,F5,48,B7,
volume-down = 0A,F5,A8,57,
ch-up = 0A,F5,98,67,
ch-down = 0A,F5,18,E7,
cs-1 = 6A,95,86,79,
cs-2 = 6A,95,46,B9,
cs-3 = 6A,95,C6,39,
cs-4 = 6A,95,26,D9,
cs-5 = 6A,95,A6,59,
cs-6 = 6A,95,66,99,
cs-7 = 6A,95,E6,19,
cs-8 = 6A,95,16,E9,
cs-9 = 6A,95,96,69,
cs-10 = 6A,95,06,F9,
cs-11 = 6A,95,56,A9,
cs-12 = 6A,95,D6,29,
